census_tract,loan_type,count
25023520202.0,2,25
25023520202.0,3,2
25023521101.0,1,155
25023521101.0,2,17
25023521101.0,3,1
25023521102.0,1,63
25023521102.0,2,34
25023521201.0,1,53
25023521201.0,2,22
25023521201.0,3,2
25023521202.0,1,70
25023521202.0,2,26
25023521202.0,3,15
25023522101.0,1,59
25023522101.0,2,23
25023522101.0,3,7
25023522101.0,4,1
25023522102.0,1,95
25023522102.0,2,20
25023522102.0,3,16
25023523100.0,1,36
25023523100.0,2,12
25023523100.0,3,6
25023523201.0,1,19
25023523201.0,2,9
25023523201.0,3,7
25023523202.0,1,134
25023523202.0,2,37
25023523202.0,3,15
25023523202.0,4,1
25023524101.0,1,67
25023524101.0,2,21
25023524101.0,3,1
25023524102.0,1,83
25023524102.0,2,19
25023524102.0,3,7
25023525101.0,1,110
25023525101.0,2,35
25023525101.0,3,8
25023525101.0,4,1
25023525104.0,1,111
25023525104.0,2,24
25023525104.0,3,11
25023525203.0,1,89
25023525203.0,2,31
25023525203.0,3,5
25023525204.0,1,80
25023525204.0,2,18
25023525204.0,3,12
25023525300.0,1,1
25023526100.0,1,141
25023526100.0,2,40
25023526100.0,3,10
25023530100.0,1,128
25023530100.0,2,8
25023530100.0,3,8
25023530200.0,1,72
25023530200.0,2,11
25023530200.0,3,4
25023530300.0,1,114
25023530300.0,2,7
25023530300.0,3,4
25023530400.0,1,117
25023530400.0,2,17
25023530400.0,3,8
25023530400.0,4,1
25023530500.0,1,137
25023530500.0,2,4
25023530500.0,3,10
25023530600.0,1,185
25023530600.0,2,12
25023530600.0,3,8
25023530700.0,1,303
25023530700.0,2,7
25023530700.0,3,2
25023530801.0,1,172
25023530801.0,2,14
25023530801.0,3,13
25023530802.0,1,107
25023530802.0,2,14
25023530802.0,3,6
25023530901.0,1,318
25023530901.0,2,60
25023530901.0,3,33
25023530902.0,1,126
25023530902.0,2,9
25023530902.0,3,7
25023540101.0,1,153
25023540101.0,2,15
25023540101.0,3,9
25023540101.0,4,7
25023540102.0,1,56
25023540102.0,2,21
25023540102.0,3,11
25023540102.0,4,2
25023540103.0,1,79
25023540103.0,2,8
25023540103.0,3,7
25023541100.0,1,109
25023541100.0,2,12
25023541100.0,3,9
25023541100.0,4,2
25023542101.0,1,125
25023542101.0,2,27
25023542101.0,3,10
25023542101.0,4,3
25023542102.0,1,49
25023542102.0,2,10
25023542102.0,3,4
25023542200.0,1,110
25023542200.0,2,15
25023542200.0,3,11
25023542300.0,1,111
25023542300.0,2,53
25023542300.0,3,12
25023542300.0,4,2
25023543100.0,1,55
25023543100.0,2,6
25023543100.0,3,2
25023543100.0,4,1
25023544100.0,1,99
25023544100.0,2,16
25023544100.0,3,10
25023544100.0,4,3
25023544200.0,1,150
25023544200.0,2,13
25023544200.0,3,8
25023544200.0,4,4
25023545100.0,1,148
25023545100.0,2,47
25023545100.0,3,15
25023545100.0,4,8
25023545200.0,1,128
25023545200.0,2,37
25023545200.0,3,38
25023545200.0,4,8
25023545300.0,1,104
